phase,filename,asset_key,usage,status,notes
1,DIHWorld_Audio_Logo.jpg,BRAND,Site logo and favicon,launch-ready,Upload in first WordPress media pass.
1,DIH_World_Audio Disk Image.PNG,BRAND,Homepage hero and brand background,launch-ready,Upload in first WordPress media pass.
1,SacredVerb_SacredVerb.png,SACREDVERB,SacredVerb product hero/gallery image,launch-ready,Attach to SacredVerb WooCommerce draft.
1,Cathedral_Cathedral.png,CATHEDRAL,Cathedral product hero/gallery image,launch-ready,Attach to Cathedral WooCommerce draft.
1,DEBO_debo.png,DEBO,DEBO product hero/gallery image,launch-ready,Attach to DEBO WooCommerce draft.
1,DRUMKRUSHGLUE_DrumKrushGlue.png,DRUMKRUSHGLUE,DrumKrushGlue product hero/gallery image,launch-ready,Attach to DrumKrushGlue WooCommerce draft.
1,MARIANA_Mariana.png,MARIANA,Mariana product hero/gallery image,launch-ready,Attach to Mariana WooCommerce draft.
future,APIS_background_stripped.png,APIS,APIS product hero/gallery image,future-catalog,Use for Color Amp Tape companion bundle or APIS product page.
future,NTRPL_ntrpl.png,NTRPL,NTRPL product hero/gallery image,future-catalog,Use for Bass Foundation companion bundle or NTRPL product page.
future,PLATINUM_platinum_bg.png,PLATINUM,Platinum product hero/gallery image,future-catalog,Use for Master Bus companion bundle or Platinum product page.
future,NTRSTLLR_NTRSTLLR.png,NTRSTLLR,NTRSTLLR product hero/gallery image,future-catalog,Use for Spatial Motion companion bundle or NTRSTLLR product page.
future,image-cache-manifest.csv,ALL,Full-catalog asset planning,future-catalog,Use manifest to expand media library in controlled batches.
