Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Sold individually?,Allow customer reviews?,Regular price,Categories,Tags,Images,Download limit,Download expiry days,Download 1 name,Download 1 URL
"simple, virtual, downloadable",DIH-BUNDLE-VOCAL-CAPTURE,Vocal Capture Bundle,-1,0,visible,"Mic-source bundle for lead vocals, stacks, color, and source placement.","Draft companion bundle for GOLD, SILVER, WPR, AEGIS_NOVA, TRIPLER, and EchoLocate. Assign pricing, artwork, installer fulfillment, manuals, demos, and FAQ before publishing.",taxable,1,1,1,299,Bundles,"vocal, mic source, bundle, DIHWorld Audio",,n/a,n/a,,
"simple, virtual, downloadable",DIH-BUNDLE-BASS-FOUNDATION,Bass Foundation Bundle,-1,0,visible,"Low-end workflow bundle for bass, 808s, kick foundation, and translation.","Draft companion bundle for Mariana, Monolith, Depth Boost Pro, and NTRPL. Assign pricing, artwork, installer fulfillment, manuals, demos, and FAQ before publishing.",taxable,1,1,1,199,Bundles,"bass, low end, Mariana, NTRPL, bundle, DIHWorld Audio",,n/a,n/a,,
"simple, virtual, downloadable",DIH-BUNDLE-MASTER-BUS,Master Bus Bundle,-1,0,visible,"Final authority bundle for balance, lift, structure, containment, and analysis.","Draft companion bundle for SPHYNX, MAAT, PLATINUM, HORIZON_X, IMHOTEP, ANKH, and SESHAT. Assign pricing, artwork, installer fulfillment, manuals, demos, and FAQ before publishing.",taxable,1,1,1,399,Bundles,"mastering, master bus, Platinum, ANKH, SESHAT, DIHWorld Audio",,n/a,n/a,,
"simple, virtual, downloadable",DIH-BUNDLE-COLOR-AMP-TAPE,Color Amp Tape Bundle,-1,0,visible,"Analog character bundle for harmonic body, tube color, tape emergence, and authority tone.","Draft companion bundle for APIS, PTAHTUBE, KHEPRI, and SOVEREIGN. Platinum is not primary Color here; it belongs to Mastering Core with secondary Color support.",taxable,1,1,1,199,Bundles,"color, amp, tape, analog, APIS, PTAHTUBE, KHEPRI, SOVEREIGN",,n/a,n/a,,
"simple, virtual, downloadable",DIH-BUNDLE-SPATIAL-MOTION,Spatial Motion Bundle,-1,0,visible,"Depth, width, motion, and living-space bundle.","Draft companion bundle for DEPTH_IMPACT_HYBRID_X, PARALLAX, NSR, NTRSTLLR, Cathedral, and SacredVerb. Assign pricing, artwork, installer fulfillment, manuals, demos, and FAQ before publishing.",taxable,1,1,1,399,Bundles,"spatial, motion, NSR, NTRSTLLR, Cathedral, SacredVerb, DIHWorld Audio",,n/a,n/a,,
"simple, virtual, downloadable",DIH-BUNDLE-DRUM-DESIGN,Drum Design Bundle,-1,0,visible,Focused drum creation and motion bundle.,"Approved at $99 launch / $179 regular for DIH_DRUM_MORPHER and BALLPARK. Keep checkout gated until artwork, exact installer fulfillment, manuals, demos, and FAQ are complete.",taxable,1,1,1,99,Bundles,"drums, morphing, ballpark, drum design, DIHWorld Audio",,n/a,n/a,,
"simple, virtual, downloadable",DIH-BUNDLE-DYNAMICS-GUARD,Dynamics Guard Bundle,-1,0,visible,"Control, glue, transient guard, and mix safety bundle.","Approved at $249 launch / $399 regular for DEBO, DRUMKRUSHGLUE, ANUBIS, OTIS, and LOOKOUT. Keep checkout gated until artwork, exact installer fulfillment, manuals, demos, and FAQ are complete.",taxable,1,1,1,249,Bundles,"dynamics, glue, guard, limiter, safety, DIHWorld Audio",,n/a,n/a,,
"simple, virtual, downloadable",DIH-BUNDLE-CREATIVE-LAB,Creative Lab Bundle,-1,0,visible,"Creative transform bundle for harmonic writing, recovery, width contour, and intentional transformation.","Draft companion bundle for THOTH, TEHUTI, AU, SLOTMACHINE, ARCHAEOLOGIST_X, and SERQET. Assign pricing, artwork, installer fulfillment, manuals, demos, and FAQ before publishing.",taxable,1,1,1,299,Bundles,"creative, harmonics, transform, THOTH, TEHUTI, SERQET, DIHWorld Audio",,n/a,n/a,,
"simple, virtual, downloadable",DIH-COMPLETE-COLLECTION,Complete Collection,-1,0,visible,The full DIHWorld Audio 42-plugin suite as a complete collection storefront product.,"Approved at $799 launch / $1,199 regular. Connect only current signed, notarized, stapled, and Gatekeeper-verified Mac installers plus the verified Windows x64 installer before publishing.",taxable,1,1,1,799,Bundles,"complete collection, 42 plugins, DIHWorld Audio, AU, VST3",,n/a,n/a,,
"simple, virtual, downloadable",DIH-BETTER-BUSES,DIHWorld Better Buses,-1,0,visible,Logic channel-strip starter set for current DIHWorld Audio routing.,"DIHWorld Better Buses is a draft download product for Logic channel-strip buses using current DIHWorld Audio plugin names, shorter chains, and the corrected level rule. Attach the final ZIP and decide whether this is free, gated, or paid before publishing.",taxable,1,1,1,0,"Demo Downloads, Tutorials","Logic, channel strips, better buses, routing, NSR, DIHWorld Audio",,n/a,n/a,,
