SKU,Name,Primary family,Smart position,Storefront role,Short description
DIH-GOLD,GOLD,VOCAL_MIC_SOURCE,INSERT_SAFE,Full catalog draft,High-end vocal and mic polish for air clarity and luminous source presence.
DIH-SILVER,SILVER,VOCAL_MIC_SOURCE,INSERT_SAFE,Full catalog draft,Mic-source transient and presence shaping for reflective vocal clarity.
DIH-WPR,WPR,VOCAL_MIC_SOURCE,INSERT_SAFE,Full catalog draft,Ribbon microphone character with warm presence and source perspective control.
DIH-AEGIS-NOVA,AEGIS NOVA,VOCAL_MIC_SOURCE,INSERT_SAFE,Full catalog draft,Vocal shield and protection processor for sibilance plosives and clarity.
DIH-TRIPLER,TRIPLER,VOCAL_MIC_SOURCE,INSERT_SAFE,Full catalog draft,Three-voice vocal enhancement and harmony feel for presence and stack building.
DIH-ECHOLOCATE,EchoLocate,VOCAL_MIC_SOURCE,INSERT_SAFE,Full catalog draft,Spatial echo and localization for source placement and reflective depth.
DIH-APIS,APIS,COLOR_AMP_TAPE,INSERT_SAFE,Companion bundle draft,Strength body and pressure tone for reinforced source or bus authority.
DIH-PTAHTUBE,PTAHTUBE,COLOR_AMP_TAPE,INSERT_SAFE,Companion bundle draft,Tube-inspired harmonic body and protected tone shaping.
DIH-KHEPRI,KHEPRI,COLOR_AMP_TAPE,INSERT_SAFE,Companion bundle draft,Tape-machine emergence and transformation color with phi-ratio mix behavior.
DIH-SOVEREIGN,SOVEREIGN,COLOR_AMP_TAPE,MIX_BUS,Companion bundle draft,Authority-driven analog color and tone shaping for source or bus.
DIH-ANKH,ANKH,MASTERING_CORE,MASTER_FIELD,Companion bundle draft,Life-field tone controller for activation balance and containment.
DIH-SPHYNX,SPHYNX,MASTERING_CORE,MIX_BUS,Companion bundle draft,Source-detection and calibration intelligence for threshold preparation.
DIH-MAAT,MAAT,MASTERING_CORE,MIX_BUS,Companion bundle draft,Truth and balance processor for ordered field behavior and mix regulation.
DIH-HORIZON-X,HORIZON X,MASTERING_CORE,MIX_BUS,Companion bundle draft,Finalizer and field lift processor for clarity depth and output support.
DIH-PLATINUM,Platinum,MASTERING_CORE,MIX_BUS,Companion bundle draft,Mastering shine translation and polished color support.
DIH-IMHOTEP,IMHOTEP,MASTER_FIELD,MASTER_FIELD,Companion bundle draft,Architect engine for structure width and canon-calibrated field geometry.
DIH-AUSET,AUSET,FIELD_TONE_BALANCE,BUS_PREFERRED,Full catalog draft,Precise tone-balance and field application for whole-signal spectral tilt.
DIH-AUSAR,AUSAR,FIELD_TONE_BALANCE,BUS_PREFERRED,Full catalog draft,Restoration and regeneration processor for recovering buried signal character.
DIH-DEPTH-IMPACT-HYBRID-X,DEPTH IMPACT HYBRID X,DIMENSIONAL_IMPACT_MOVE,INSERT_SAFE,Companion bundle draft,Depth and impact shaping for dimensional low-end and transient presence.
DIH-PARALLAX,PARALLAX,DIMENSIONAL_IMPACT_MOVE,BUS_PREFERRED,Companion bundle draft,Stereo imager and perspective processor for width depth focus and spread.
DIH-NSR,NSR,DIMENSIONAL_IMPACT_MOVE,BUS_PREFERRED,Companion bundle draft,Spatial movement processor for depth width motion and source-bound response.
DIH-ANUBIS,ANUBIS,DYNAMICS_GUARD,INSERT_SAFE,Companion bundle draft,Gate and threshold discipline tool for controlled passage and release.
DIH-OTIS,OTIS,DYNAMICS_GUARD,INSERT_SAFE,Companion bundle draft,Dynamics and stereo field support for elevation width and density.
DIH-DEBO,DEBO,DYNAMICS_GUARD,INSERT_SAFE,Core Bundle,Dynamic ceiling control and mix protection for clean output behavior.
DIH-LOOKOUT,LOOKOUT,DYNAMICS_GUARD,OBSERVATION,Companion bundle draft,Transient watcher and attack-sustain shaper for percussion and field response.
DIH-DRUMKRUSHGLUE,DRUMKRUSHGLUE,DYNAMICS_GUARD,BUS_PREFERRED,Core Bundle,Parallel drum energy and rhythmic density engine for punch glue and controlled saturation.
DIH-MARIANA,MARIANA,BASS_LOW_END,LOW_END_SOURCE,Core Bundle,Deep sub-control and pressure processor for bass foundation and translation.
DIH-MONOLITH,MONOLITH,BASS_LOW_END,LOW_END_SOURCE,Companion bundle draft,Low-end mass and transient shaping for foundation solidity.
DIH-DEPTH-BOOST-PRO,DEPTH BOOST PRO,BASS_LOW_END,LOW_END_SOURCE,Companion bundle draft,Sub-bass depth and controlled low-end enhancement.
DIH-NTRPL,NTRPL,BASS_LOW_END,LOW_END_SOURCE,Companion bundle draft,Harmonic interpolation and alternate-field rewriting for low-end clarity.
DIH-NTRSTLLR,NTRSTLLR,FX_SPATIAL,BUS_PREFERRED,Companion bundle draft,Nebula and Wormhole spatial expansion for tail width air and return.
DIH-CATHEDRAL,Cathedral,FX_SPATIAL,BUS_PREFERRED,Core Bundle,Architectural space modeling reverb with clear reflection structure and controlled diffusion.
DIH-SACREDVERB,SacredVerb,FX_SPATIAL,BUS_PREFERRED,Core Bundle,Expressive harmonic space and emotional decay reverb for living tails.
DIH-THOTH,THOTH,HARMONICS_PITCH,INSERT_SAFE,Companion bundle draft,Solfeggio-aware frequency scribe for harmonic character.
DIH-TEHUTI,TEHUTI,HARMONICS_PITCH,INSERT_SAFE,Companion bundle draft,Harmonic transformation and frequency-order intelligence.
DIH-AU,AU,HARMONICS_PITCH,INSERT_SAFE,Companion bundle draft,Instrument and harmonic utility processor for source material.
DIH-DRUM-MORPHER,DIH DRUM MORPHER,DRUM_INSTRUMENT,CREATIVE_TRANSFORM,Companion bundle draft,Drum sampler sequencer and morphing instrument.
DIH-BALLPARK,BALLPARK,DRUM_INSTRUMENT,CREATIVE_TRANSFORM,Companion bundle draft,Drum and musical placement utility for quick tonal positioning.
DIH-SLOTMACHINE,SLOTMACHINE,CREATIVE_TRANSFORM,CREATIVE_TRANSFORM,Companion bundle draft,Three-slot plugin chain router for intentional creative stacking.
DIH-ARCHAEOLOGIST-X,ARCHAEOLOGIST X,CREATIVE_TRANSFORM,CREATIVE_TRANSFORM,Companion bundle draft,Presence and detail recovery for excavating buried harmonics.
DIH-SERQET,SERQET,CREATIVE_TRANSFORM,CREATIVE_TRANSFORM,Companion bundle draft,Width contour and creative motion with precise venom character.
DIH-SESHAT,SESHAT,UTILITY_OBSERVATION,OBSERVATION,Companion bundle draft,Metering and analysis utility for canon-aware signal observation.
