SKU,Product,Offer Type,Storefront Status,Primary Family,Included Products,Count,Launch Price,Regular Price,Mac DMG Path,Mac DMG SHA256,Mac PKG Path,Mac PKG SHA256,Windows Installer Path,Windows SHA256,SHA256 Source,Manual Path,Download 1 Name,Download 1 URL,WooCommerce Product URL,Demo Asset URL,Release Gate Status,Next Action,Notes
DIH-GOLD,GOLD,Individual,Full catalog draft,VOCAL_MIC_SOURCE,GOLD,1,$49,$79,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_VOCAL_MIC_SOURCE_CURRENT_DEPLOY_20260630_190721/DMGs/Individual/DIHWorld_Audio_GOLD_Installer_20260630_190721.dmg,b4a5400dc9eb908027dbc402460d8ac39c8c604489deacfa8d868132b65e33d1,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_VOCAL_MIC_SOURCE_CURRENT_DEPLOY_20260630_190721/PKGs/Individual/DIHWorld_Audio_GOLD_Installer_20260630_190721.pkg,3dce7274e5f4922518e57cdbe47fa521bf62189d0325a90a3f24f5b3799032e0,,,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_VOCAL_MIC_SOURCE_CURRENT_DEPLOY_20260630_190721/SHA256SUMS.txt,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FAMILIES/DIHWorld_Audio_User_Manual_CURRENT.pdf,GOLD Mac Installer,,,,READY_FOR_UPLOAD_URL,Upload DMG/PKG to protected GoDaddy/WooCommerce storage and paste final download URL.,Current release index artifact. Keep unpublished until download URL and product page are connected.
DIH-SILVER,SILVER,Individual,Full catalog draft,VOCAL_MIC_SOURCE,SILVER,1,$49,$79,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_VOCAL_MIC_SOURCE_CURRENT_DEPLOY_20260630_190721/DMGs/Individual/DIHWorld_Audio_SILVER_Installer_20260630_190721.dmg,6f6f446ab17aab49dc994d241ac143098dbeaa663ee9357af42131b239688534,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_VOCAL_MIC_SOURCE_CURRENT_DEPLOY_20260630_190721/PKGs/Individual/DIHWorld_Audio_SILVER_Installer_20260630_190721.pkg,e3eeabdb9fe8f7cccf60c159ea755738df862e65db37d4aef065ddbe495f1df6,,,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_VOCAL_MIC_SOURCE_CURRENT_DEPLOY_20260630_190721/SHA256SUMS.txt,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FAMILIES/DIHWorld_Audio_User_Manual_CURRENT.pdf,SILVER Mac Installer,,,,READY_FOR_UPLOAD_URL,Upload DMG/PKG to protected GoDaddy/WooCommerce storage and paste final download URL.,Current release index artifact. Keep unpublished until download URL and product page are connected.
DIH-WPR,WPR,Individual,Full catalog draft,VOCAL_MIC_SOURCE,WPR,1,$49,$79,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_VOCAL_MIC_SOURCE_CURRENT_DEPLOY_20260630_190721/DMGs/Individual/DIHWorld_Audio_WPR_Installer_20260630_190721.dmg,9b62aa290e7bf88e6e54ed784dd23176779f29881b449af27f36fb7e3d393d05,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_VOCAL_MIC_SOURCE_CURRENT_DEPLOY_20260630_190721/PKGs/Individual/DIHWorld_Audio_WPR_Installer_20260630_190721.pkg,b4b01524c11ca7cfd0dff497a1ecb9c11c2bfdf703b47f69255a41b9ddba8a34,,,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_VOCAL_MIC_SOURCE_CURRENT_DEPLOY_20260630_190721/SHA256SUMS.txt,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FAMILIES/DIHWorld_Audio_User_Manual_CURRENT.pdf,WPR Mac Installer,,,,READY_FOR_UPLOAD_URL,Upload DMG/PKG to protected GoDaddy/WooCommerce storage and paste final download URL.,Current release index artifact. Keep unpublished until download URL and product page are connected.
DIH-AEGIS-NOVA,AEGIS NOVA,Individual,Full catalog draft,VOCAL_MIC_SOURCE,AEGIS NOVA,1,$49,$79,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_VOCAL_MIC_SOURCE_CURRENT_DEPLOY_20260630_190721/DMGs/Individual/DIHWorld_Audio_AEGIS_NOVA_Installer_20260630_190721.dmg,de1c4f6bdec8e3232127eacc129145c0940155bb6493972f7c82f7b4fba3b10c,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_VOCAL_MIC_SOURCE_CURRENT_DEPLOY_20260630_190721/PKGs/Individual/DIHWorld_Audio_AEGIS_NOVA_Installer_20260630_190721.pkg,1ad8484a7e54a4467e8f1f29956b7a7273b742bab5eba7d634273a07295dde05,,,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_VOCAL_MIC_SOURCE_CURRENT_DEPLOY_20260630_190721/SHA256SUMS.txt,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FAMILIES/DIHWorld_Audio_User_Manual_CURRENT.pdf,AEGIS NOVA Mac Installer,,,,READY_FOR_UPLOAD_URL,Upload DMG/PKG to protected GoDaddy/WooCommerce storage and paste final download URL.,Current release index artifact. Keep unpublished until download URL and product page are connected.
DIH-TRIPLER,TRIPLER,Individual,Full catalog draft,VOCAL_MIC_SOURCE,TRIPLER,1,$49,$79,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_VOCAL_MIC_SOURCE_CURRENT_DEPLOY_20260630_190721/DMGs/Individual/DIHWorld_Audio_TRIPLER_Installer_20260630_190721.dmg,39037e1be79afe1398bfcfa0b605f22f1e9560c04c9b1d2403a640f7f078c5ee,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_VOCAL_MIC_SOURCE_CURRENT_DEPLOY_20260630_190721/PKGs/Individual/DIHWorld_Audio_TRIPLER_Installer_20260630_190721.pkg,47d0659655a27438b3615f9cee847483775cca0e513420472a04e98cce61dc6d,,,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_VOCAL_MIC_SOURCE_CURRENT_DEPLOY_20260630_190721/SHA256SUMS.txt,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FAMILIES/DIHWorld_Audio_User_Manual_CURRENT.pdf,TRIPLER Mac Installer,,,,READY_FOR_UPLOAD_URL,Upload DMG/PKG to protected GoDaddy/WooCommerce storage and paste final download URL.,Current release index artifact. Keep unpublished until download URL and product page are connected.
DIH-ECHOLOCATE,EchoLocate,Individual,Full catalog draft,VOCAL_MIC_SOURCE,EchoLocate,1,$49,$79,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_VOCAL_MIC_SOURCE_CURRENT_DEPLOY_20260630_190721/DMGs/Individual/DIHWorld_Audio_EchoLocate_Installer_20260630_190721.dmg,5bee4a2271186cda4ba2c8fdf580889d62cdca3f658c309b7083875fbe40eac0,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_VOCAL_MIC_SOURCE_CURRENT_DEPLOY_20260630_190721/PKGs/Individual/DIHWorld_Audio_EchoLocate_Installer_20260630_190721.pkg,14d85ff98ddd150f0e3f7ef284cfe4f4402bc8611d774b3743b76d1a0f5071d2,,,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_VOCAL_MIC_SOURCE_CURRENT_DEPLOY_20260630_190721/SHA256SUMS.txt,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FAMILIES/DIHWorld_Audio_User_Manual_CURRENT.pdf,EchoLocate Mac Installer,,,,READY_FOR_UPLOAD_URL,Upload DMG/PKG to protected GoDaddy/WooCommerce storage and paste final download URL.,Current release index artifact. Keep unpublished until download URL and product page are connected.
DIH-APIS,APIS,Individual,Companion bundle draft,COLOR_AMP_TAPE,APIS,1,$49,$79,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_COLOR_AMP_TAPE_CURRENT_DEPLOY_20260630_130135/DMGs/Individual/DIHWorld_Audio_APIS_Installer_20260630_130135.dmg,ddb04b4290a2c03db8e2734538763af1fce43b3ada63c26cb11dd651aa922e2d,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_COLOR_AMP_TAPE_CURRENT_DEPLOY_20260630_130135/PKGs/Individual/DIHWorld_Audio_APIS_Installer_20260630_130135.pkg,920bdc1e69e8d7d0229b87b998057521ee30c83ca87ef5aa65722fa1e59689d3,,,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_COLOR_AMP_TAPE_CURRENT_DEPLOY_20260630_130135/SHA256SUMS.txt,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FAMILIES/DIHWorld_Audio_User_Manual_CURRENT.pdf,APIS Mac Installer,,,,READY_FOR_UPLOAD_URL,Upload DMG/PKG to protected GoDaddy/WooCommerce storage and paste final download URL.,Current release index artifact. Keep unpublished until download URL and product page are connected.
DIH-PTAHTUBE,PTAHTUBE,Individual,Companion bundle draft,COLOR_AMP_TAPE,PTAHTUBE,1,$49,$79,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_COLOR_AMP_TAPE_CURRENT_DEPLOY_20260630_130135/DMGs/Individual/DIHWorld_Audio_PtahTube_Installer_20260630_130135.dmg,13b6381d65c9ad6fbc165cb379345bca2289f546790dd9f62f631e83cf7af4df,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_COLOR_AMP_TAPE_CURRENT_DEPLOY_20260630_130135/PKGs/Individual/DIHWorld_Audio_PtahTube_Installer_20260630_130135.pkg,64a1cb7e9ce7946c432b3a59afc11d68b3401f3effece4ab005337a91fe4261c,,,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_COLOR_AMP_TAPE_CURRENT_DEPLOY_20260630_130135/SHA256SUMS.txt,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FAMILIES/DIHWorld_Audio_User_Manual_CURRENT.pdf,PTAHTUBE Mac Installer,,,,READY_FOR_UPLOAD_URL,Upload DMG/PKG to protected GoDaddy/WooCommerce storage and paste final download URL.,Current release index artifact. Keep unpublished until download URL and product page are connected.
DIH-KHEPRI,KHEPRI,Individual,Companion bundle draft,COLOR_AMP_TAPE,KHEPRI,1,$49,$79,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_COLOR_AMP_TAPE_CURRENT_DEPLOY_20260630_130135/DMGs/Individual/DIHWorld_Audio_Khepri_Sacred_Tape_Machine_Installer_20260630_130135.dmg,d86b5f77c6412f0b7ce262f3782479ff295e83b82cf85de5be4cf40ea5e341c3,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_COLOR_AMP_TAPE_CURRENT_DEPLOY_20260630_130135/PKGs/Individual/DIHWorld_Audio_Khepri_Sacred_Tape_Machine_Installer_20260630_130135.pkg,7f3326e9415a69eb7f541c7d5c49af2c6a5e1b40417553e007fe050e4069bd24,,,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_COLOR_AMP_TAPE_CURRENT_DEPLOY_20260630_130135/SHA256SUMS.txt,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FAMILIES/DIHWorld_Audio_User_Manual_CURRENT.pdf,KHEPRI Mac Installer,,,,READY_FOR_UPLOAD_URL,Upload DMG/PKG to protected GoDaddy/WooCommerce storage and paste final download URL.,Current release index artifact. Keep unpublished until download URL and product page are connected.
DIH-SOVEREIGN,SOVEREIGN,Individual,Companion bundle draft,COLOR_AMP_TAPE,SOVEREIGN,1,$49,$79,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_COLOR_AMP_TAPE_CURRENT_DEPLOY_20260630_130135/DMGs/Individual/DIHWorld_Audio_SOVEREIGN_Installer_20260630_130135.dmg,984c6ea3128310b4e4e1b703b3edd0865ca8a3029f7323844f94d2229319bf32,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_COLOR_AMP_TAPE_CURRENT_DEPLOY_20260630_130135/PKGs/Individual/DIHWorld_Audio_SOVEREIGN_Installer_20260630_130135.pkg,667283282e05d4c3a94e0599848242706d223451d102bd8fcdef4d29845ef6a7,,,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FINISHED/release/DIHWorld_Audio_COLOR_AMP_TAPE_CURRENT_DEPLOY_20260630_130135/SHA256SUMS.txt,/Users/hakeemsalaam/Development/DIH_BUILDS/DIH_FAMILIES/DIHWorld_Audio_User_Manual_CURRENT.pdf,SOVEREIGN Mac Installer,,,,READY_FOR_UPLOAD_URL,Upload DMG/PKG to protected GoDaddy/WooCommerce storage and paste final download URL.,Current release index artifact. Keep unpublished until download URL and product page are connected.
